Timestamp,X Position,Y Position
2024-03-29T23:34:01.376Z,1197,2270
2024-03-29T23:34:01.663Z,1136,2341
2024-03-29T23:34:01.967Z,1264,2248
2024-03-29T23:34:02.192Z,1264,2252
2024-03-29T23:34:02.568Z,1250,2476
2024-03-29T23:34:02.848Z,1255,2566
2024-03-29T23:34:03.120Z,1265,2642
2024-03-29T23:34:03.664Z,1815,2548
2024-03-29T23:34:04.574Z,1130,2284
2024-03-29T23:34:04.944Z,1106,2467
2024-03-29T23:34:05.297Z,1115,2598
2024-03-29T23:34:05.798Z,1276,2487
2024-03-29T23:34:06.254Z,1675,2541
2024-03-29T23:34:06.998Z,1274,2353
2024-03-29T23:34:07.558Z,1176,2504
2024-03-29T23:34:08.037Z,1198,2573
2024-03-29T23:34:08.415Z,1146,2271
2024-03-29T23:34:08.870Z,1793,2514
2024-03-29T23:34:09.613Z,1217,2232
2024-03-29T23:34:10.142Z,1208,2310
2024-03-29T23:34:10.390Z,1167,2333
2024-03-29T23:34:11.424Z,963,2423
2024-03-29T23:34:11.966Z,1256,2263
2024-03-29T23:34:12.246Z,1136,2308
2024-03-29T23:34:12.721Z,802,2440
2024-03-29T23:34:15.237Z,951,2984
2024-03-29T23:34:16.052Z,936,2946
2024-03-29T23:34:17.573Z,966,2910
2024-03-29T23:34:19.472Z,475,2928
2024-03-29T23:34:22.614Z,44,40
2024-03-29T23:34:24.174Z,147,56
2024-03-29T23:34:24.573Z,68,56
2024-03-29T23:34:25.102Z,141,61
2024-03-29T23:34:25.501Z,78,58
2024-03-29T23:34:25.877Z,147,61
2024-03-29T23:34:26.230Z,48,54
2024-03-29T23:34:30.485Z,1038,1893
2024-03-29T23:34:30.774Z,1038,1878
2024-03-29T23:34:33.750Z,66,48
2024-03-29T23:34:36.053Z,1045,1852
2024-03-29T23:34:37.958Z,103,33
2024-03-29T23:34:41.391Z,388,1735
2024-03-29T23:34:43.663Z,95,61
2024-03-29T23:34:45.582Z,521,1742
2024-03-29T23:34:46.302Z,507,1738
2024-03-29T23:34:46.782Z,504,1737
2024-03-29T23:34:47.134Z,504,1737
2024-03-29T23:34:47.462Z,504,1737
2024-03-29T23:34:48.550Z,1136,1738
2024-03-29T23:34:49.342Z,958,1745
2024-03-29T23:34:49.718Z,953,1744
2024-03-29T23:34:50.694Z,254,1744
2024-03-29T23:34:51.358Z,1517,1734
2024-03-29T23:34:51.678Z,1587,1736
2024-03-29T23:34:52.350Z,1863,1740
2024-03-29T23:34:52.758Z,1831,1740
2024-03-29T23:34:53.175Z,1813,1742
2024-03-29T23:34:59.934Z,37,3118
